onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
446.0	60.0	epochs				
536.0	60.0	epochs	1.0	0.04	0.0	0.4
627.0	59.0	epochs	1.0	0.04	45.0	0.6
717.0	60.0	epochs	1.0	0.04	225.0	0.05
807.0	60.0	epochs	1.0	0.04	315.0	0.8
897.0	60.0	epochs	1.0	0.04	225.0	0.2
988.0	59.0	epochs	1.0	0.04	45.0	0.2
1078.0	60.0	epochs	1.0	0.04	135.0	0.1
1168.0	60.0	epochs	1.0	0.04	45.0	0.6
1259.0	59.0	epochs	1.0	0.04	0.0	0.8
1349.0	60.0	epochs	1.0	0.04	0.0	0.8
1439.0	60.0	epochs	1.0	0.04	135.0	0.05
1530.0	59.0	epochs	1.0	0.04	135.0	0.1
1620.0	60.0	epochs	1.0	0.04	90.0	0.6
1710.0	60.0	epochs	1.0	0.04	270.0	0.8
1801.0	59.0	epochs	1.0	0.04	270.0	0.8
1891.0	60.0	epochs	1.0	0.04	225.0	0.05
1981.0	60.0	epochs	1.0	0.04	225.0	0.1
2071.0	60.0	epochs	1.0	0.04	90.0	0.2
2162.0	59.0	epochs	1.0	0.04	315.0	0.2
2252.0	60.0	epochs	1.0	0.04	180.0	0.05
2342.0	60.0	epochs	1.0	0.04	0.0	0.1
2433.0	59.0	epochs	1.0	0.04	0.0	0.6
2523.0	60.0	epochs	1.0	0.04	45.0	0.6
2613.0	60.0	epochs	1.0	0.04	135.0	0.6
2704.0	59.0	epochs	1.0	0.04	90.0	0.8
2794.0	60.0	epochs	1.0	0.04	45.0	0.1
2884.0	60.0	epochs	1.0	0.04	225.0	0.05
2975.0	59.0	epochs	1.0	0.04	135.0	0.4
3065.0	60.0	epochs	1.0	0.04	180.0	0.05
3155.0	60.0	epochs	1.0	0.04	45.0	0.8
3245.0	60.0	epochs	1.0	0.04	270.0	0.05
3336.0	59.0	epochs	1.0	0.04	135.0	0.2
3426.0	60.0	epochs	1.0	0.04	225.0	0.2
3516.0	60.0	epochs	1.0	0.04	135.0	0.2
3607.0	59.0	epochs	1.0	0.04	180.0	0.2
3697.0	60.0	epochs	1.0	0.04	135.0	0.4
3787.0	60.0	epochs	1.0	0.04	90.0	0.1
