onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
444.0	60.0	epochs	1.0	0.04	315.0	0.1
535.0	59.0	epochs	1.0	0.04	180.0	0.1
625.0	60.0	epochs	1.0	0.04	225.0	0.2
715.0	60.0	epochs	1.0	0.04	180.0	0.05
806.0	59.0	epochs	1.0	0.04	0.0	0.2
896.0	60.0	epochs	1.0	0.04	180.0	0.2
986.0	60.0	epochs	1.0	0.04	270.0	0.1
1077.0	59.0	epochs	1.0	0.04	270.0	0.6
1167.0	60.0	epochs	1.0	0.04	0.0	0.2
1257.0	60.0	epochs	1.0	0.04	270.0	0.1
1348.0	59.0	epochs	1.0	0.04	90.0	0.4
1438.0	60.0	epochs	1.0	0.04	0.0	0.4
1528.0	60.0	epochs	1.0	0.04	270.0	0.2
1618.0	60.0	epochs	1.0	0.04	270.0	0.05
1709.0	59.0	epochs	1.0	0.04	225.0	0.6
1799.0	60.0	epochs	1.0	0.04	180.0	0.6
1889.0	60.0	epochs	1.0	0.04	180.0	0.1
1980.0	59.0	epochs	1.0	0.04	270.0	0.1
2070.0	60.0	epochs	1.0	0.04	225.0	0.6
2160.0	60.0	epochs	1.0	0.04	0.0	0.05
2251.0	59.0	epochs	1.0	0.04	270.0	0.6
2341.0	60.0	epochs	1.0	0.04	45.0	0.2
2431.0	60.0	epochs	1.0	0.04	45.0	0.1
2522.0	59.0	epochs	1.0	0.04	0.0	0.2
2612.0	60.0	epochs	1.0	0.04	0.0	0.05
2702.0	60.0	epochs	1.0	0.04	0.0	0.1
2792.0	60.0	epochs	1.0	0.04	0.0	0.8
2883.0	59.0	epochs	1.0	0.04	0.0	0.6
2973.0	60.0	epochs	1.0	0.04	180.0	0.8
3063.0	60.0	epochs	1.0	0.04	225.0	0.05
3154.0	59.0	epochs	1.0	0.04	45.0	0.8
3244.0	60.0	epochs	1.0	0.04	45.0	0.05
3334.0	60.0	epochs	1.0	0.04	135.0	0.6
3425.0	59.0	epochs	1.0	0.04	135.0	0.6
3515.0	60.0	epochs	1.0	0.04	180.0	0.6
3605.0	60.0	epochs	1.0	0.04	135.0	0.1
3695.0	60.0	epochs	1.0	0.04	315.0	0.8
3786.0	59.0	epochs	1.0	0.04	225.0	0.8
3876.0	60.0	epochs	1.0	0.04	45.0	0.8
3966.0	60.0	epochs	1.0	0.04	90.0	0.4
4057.0	59.0	epochs	1.0	0.04	90.0	0.8
4147.0	60.0	epochs	1.0	0.04	0.0	0.05
4237.0	60.0	epochs	1.0	0.04	0.0	0.6
4328.0	59.0	epochs	1.0	0.04	180.0	0.05
4418.0	60.0	epochs	1.0	0.04	45.0	0.1
4508.0	60.0	epochs	1.0	0.04	0.0	0.4
4599.0	59.0	epochs	1.0	0.04	315.0	0.2
4689.0	60.0	epochs	1.0	0.04	225.0	0.1
4779.0	60.0	epochs	1.0	0.04	45.0	0.2
4869.0	60.0	epochs	1.0	0.04	270.0	0.05
4960.0	59.0	epochs	1.0	0.04	315.0	0.05
5050.0	60.0	epochs	1.0	0.04	315.0	0.1
5140.0	60.0	epochs	1.0	0.04	315.0	0.8
5231.0	59.0	epochs	1.0	0.04	270.0	0.2
5321.0	60.0	epochs	1.0	0.04	90.0	0.8
5411.0	60.0	epochs	1.0	0.04	90.0	0.05
5502.0	59.0	epochs	1.0	0.04	270.0	0.05
5592.0	60.0	epochs	1.0	0.04	135.0	0.6
5682.0	60.0	epochs	1.0	0.04	0.0	0.1
5773.0	59.0	epochs	1.0	0.04	315.0	0.2
5863.0	60.0	epochs	1.0	0.04	180.0	0.4
5953.0	60.0	epochs	1.0	0.04	90.0	0.4
6043.0	60.0	epochs	1.0	0.04	90.0	0.4
6134.0	59.0	epochs	1.0	0.04	315.0	0.1
6224.0	60.0	epochs	1.0	0.04	45.0	0.05
6314.0	60.0	epochs	1.0	0.04	270.0	0.4
